weeks,event,age,logsalary,married,isfemale,hasChildren,caucasian
5,1,41,6.843980744,1,0,1,1
13,1,30,5.429074995,1,0,1,1
20,1,36,6.862835994,0,0,0,1
3,1,26,5.843073277,1,0,1,0
8,0,22,6.292216038,0,0,0,1
11,0,43,6.753924699,1,0,1,1
1,0,24,5.750585203,1,0,1,0
3,1,32,6.13070589,1,0,1,1
7,1,35,5.322621431,1,0,1,1
5,0,31,5.244997621,1,1,0,1
7,0,26,5.851788165,1,0,1,1
14,0,49,6.654751346,1,0,0,1
1,1,39,4.951892847,0,1,0,1
3,0,40,5.071849297,0,1,0,1
0,1,20,5.243735719,1,0,1,1
2,1,39,5.989508888,1,0,0,1
13,0,38,6.193053458,0,0,0,1
1,1,38,5.996842857,0,0,0,1
1,0,20,4.70836815,1,1,0,1
5,0,26,5.561966883,1,0,1,1
7,0,44,5.796195214,0,0,0,1
5,0,52,5.120343104,1,0,1,1
4,1,30,5.728867313,1,0,1,0
2,0,47,4.901608853,0,1,0,1
15,0,43,6.247408361,1,0,1,1
14,1,30,5.435070121,1,1,1,1
3,0,25,5.577394607,0,0,0,1
5,0,33,6.248497522,0,1,0,1
2,1,45,5.580028188,1,0,1,1
0,1,37,5.567111127,0,0,0,1
5,0,47,6.595597382,1,0,1,1
1,1,27,5.89485777,0,1,0,1
1,1,42,5.613402875,1,0,0,1
6,1,44,7.322718185,1,0,1,1
5,0,31,6.362001455,1,1,1,1
5,0,29,5.635696038,0,0,0,1
3,0,24,5.399809099,1,1,0,0
5,1,36,5.565373552,1,1,1,1
1,1,39,5.304603008,0,1,0,1
3,1,44,6.429691686,1,0,0,1
3,1,29,5.840391571,0,0,0,1
2,0,33,5.920478658,0,1,0,1
5,1,35,5.503952677,0,0,1,1
13,0,43,6.240370541,0,0,0,1
7,0,43,6.067801299,0,1,1,1
5,1,27,6.138472737,0,0,0,1
14,0,28,5.062516749,0,1,1,0
0,1,34,5.640421046,0,1,0,1
4,0,29,5.884592416,0,1,0,1
13,1,21,5.296213561,0,1,1,1
1,0,22,5.35509423,0,0,0,1
0,0,27,5.760492819,1,1,1,0
19,0,46,5.790425829,1,0,1,1
4,1,26,5.883428683,1,1,1,1
3,1,27,6.296925449,1,0,1,1
0,1,29,6.034240926,1,1,1,1
13,0,48,5.466951614,1,0,1,1
0,0,30,5.183849318,0,0,1,1
2,0,40,5.640365315,1,0,1,1
1,0,44,5.486661186,0,0,1,1
7,1,42,5.620517161,1,0,1,1
0,0,52,5.581280162,1,0,1,1
6,1,23,4.977166682,0,0,0,1
4,0,23,5.402846763,1,0,1,1
2,0,25,5.175153765,1,0,1,0
6,1,50,6.706074051,1,0,0,1
1,1,28,6.268731022,0,0,0,1
2,0,30,5.125228867,0,0,0,1
27,0,27,5.537669255,0,1,1,0
4,1,48,5.835553245,1,1,0,1
4,1,22,5.68893589,0,0,1,1
2,0,21,4.9798957,0,0,1,1
2,0,23,5.97961659,1,0,1,1
1,0,26,5.835875163,0,0,0,1
4,1,24,5.449272438,0,1,0,1
9,0,38,4.690561878,0,0,0,0
0,0,28,5.437313674,0,0,0,1
2,0,20,5.389072294,0,0,0,1
13,0,36,5.616841598,1,0,1,1
8,0,30,7.137565526,1,0,1,1
4,0,58,5.013975701,1,1,0,1
5,0,28,5.989977113,1,1,0,1
5,1,20,5.605435645,1,0,0,1
14,1,47,5.918958586,1,0,0,1
20,0,41,5.593766228,0,1,0,0
2,1,41,5.338480227,0,0,0,0
4,0,46,7.422014102,1,0,1,1
1,1,54,6.983612753,1,0,0,1
7,0,32,5.940141523,0,0,0,0
9,0,44,5.722548354,0,0,0,0
9,0,47,5.840021712,0,1,0,0
12,1,34,5.912128817,1,0,1,1
11,0,34,5.611412702,1,0,0,1
20,0,21,5.147841046,0,0,0,0
9,0,52,5.203678588,1,1,0,1
2,0,25,5.841482785,0,0,0,1
2,1,58,5.761362008,1,1,0,1
2,1,49,6.660176715,0,0,0,1
1,0,49,5.621195344,0,1,1,1
0,1,25,5.861486208,0,0,0,1
14,1,29,6.023988036,0,1,0,1
14,0,56,6.514567864,1,0,1,1
7,0,28,5.023694876,0,1,1,1
1,1,37,6.181260864,0,0,0,1
17,0,38,5.713813763,1,0,0,1
7,1,27,5.313094952,1,1,0,1
10,0,31,5.824633925,1,0,0,1
3,0,51,5.667756035,0,1,0,1
2,0,21,5.577550283,0,0,0,1
15,0,24,6.02894479,0,0,0,1
4,0,22,5.227069931,0,0,0,1
4,0,24,6.180225988,0,0,0,1
13,1,33,5.365629488,1,0,0,1
6,0,44,5.700681524,0,1,1,1
7,0,36,5.56676911,0,0,0,1
2,0,37,6.292077805,1,0,1,1
6,0,30,5.541282889,0,0,0,1
8,0,21,5.338221714,0,0,0,1
15,1,45,5.663626926,1,1,0,1
7,0,36,4.847651286,1,0,1,1
7,0,31,5.316457636,0,0,0,1
3,0,29,5.317659715,1,1,0,1
2,0,38,5.573589989,1,1,0,1
11,1,37,6.445592992,0,0,0,1
5,0,20,5.207869028,0,1,1,1
4,1,25,5.327832323,0,1,0,1
13,1,23,5.768030178,0,1,0,1
1,0,21,5.736247209,0,0,0,1
10,0,26,5.994110383,1,0,1,1
8,0,43,5.919321096,0,0,0,1
24,0,36,5.901783862,1,0,0,1
5,0,25,5.25943766,0,0,1,1
3,0,45,5.433423861,0,0,0,1
6,0,60,5.929423118,1,0,0,1
6,0,25,5.959958705,1,1,0,1
2,1,44,6.450375753,1,0,1,1
6,0,52,6.213004672,0,0,0,1
5,0,34,5.852276064,1,0,1,1
5,0,55,6.377882752,1,0,0,1
3,0,33,5.73548708,1,1,1,1
14,0,58,5.232572616,1,0,0,1
7,0,23,5.274950484,0,0,1,1
5,1,34,5.660230947,1,1,1,1
2,0,21,5.726940226,1,0,0,1
3,0,56,6.034954359,1,0,0,1
7,1,36,5.715543067,1,0,1,1
2,0,21,5.5107183,0,1,0,1
3,0,32,6.241336273,1,1,0,1
2,0,53,4.99799946,1,1,0,1
5,0,32,5.930920608,0,0,0,1
11,0,38,5.047545171,1,0,1,1
1,1,23,5.317983953,0,0,0,1
2,0,44,4.910341124,1,1,1,0
15,0,52,5.830886986,1,1,0,1
15,0,29,5.819717225,0,1,0,1
26,0,29,5.138891545,1,0,0,1
13,0,37,5.953587987,1,0,1,0
0,0,43,6.080063777,1,0,1,1
4,0,41,6.013000767,0,0,0,1
4,0,40,6.071783722,0,0,0,1
27,0,30,5.901737376,0,0,0,1
2,0,21,5.671347388,1,0,1,1
7,0,60,6.362895207,0,0,0,1
